,Breakdown,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020
0,Total Revenue,-812.101,-812.101,"-97,108","28,084","8,971"
1,Pretax Income,"-1,220","-1,220","-97,531","27,630","8,497"
2,Net Income Common Stockholders,"-1,220","-1,220","-97,531","27,630","8,497"
3,Diluted NI Available to Com Stockholders,"-1,220","-1,220","-97,531","27,630","8,497"
4,Basic EPS,-0.05,-,-3.39,0.96,0.30
5,Diluted EPS,-0.05,-,-3.39,0.96,0.30
6,Basic Average Shares,"24,393",-,"28,770","28,781","28,322"
7,Diluted Average Shares,"28,745",-,"28,770","28,781","28,322"
8,Net Income from Continuing & Discontinued Operation,"-1,220","-1,220","-97,531","27,630","8,497"
9,Normalized Income,"-1,220","-1,220","-97,531","27,630","8,497"
10,Net Income from Continuing Operation Net Minority Interest,"-1,220","-1,220","-97,531","27,630","8,497"
11,Tax Rate for Calcs,0,0,0,0,0
12,Tax Effect of Unusual Items,0,0,0,0,0
13,Breakdown,10/31/2023,10/31/2022,10/31/2021,10/31/2020,
14,Total Assets,"545,221","594,944","699,918","693,437",
15,Total Liabilities Net Minority Interest,"233,570","270,460","261,235","263,975",
16,Total Equity Gross Minority Interest,"311,651","324,485","438,683","429,462",
17,Total Capitalization,-,"332,385","464,778","455,557",
18,Common Stock Equity,"311,651","324,485","438,683","429,462",
19,Net Tangible Assets,"311,651","324,485","438,683","429,462",
20,Invested Capital,-,"332,385","464,778","455,557",
21,Tangible Book Value,"311,651","324,485","438,683","429,462",
22,Total Debt,-,"7,900","26,095","26,095",
23,Net Debt,-,"7,900","26,095","26,095",
24,Share Issued,"28,745","28,745","28,745","28,745",
25,Ordinary Shares Number,"28,745","28,745","28,745","28,745",
26,Breakdown,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020
27,Operating Cash Flow,"19,634","19,634","34,836","18,409","16,872"
28,Financing Cash Flow,"-19,633","-19,633","-34,836","-18,409","-16,872"
29,End Cash Position,0.102,0.102,0,0,0
30,Repayment of Debt,"-7,900","-7,900","-18,195",-,-
31,Free Cash Flow,"19,634","19,634","34,836","18,409","16,872"
